Claim_ID,Policy_ID,Customer_ID,Accident_Date,FNOL_Date,Claim_Type,Estimated_Claim_Amount,Ultimate_Claim_Amount,Settlement_Date,Traffic_Condition,Weather_Condition
CLM_000081,POL_000069,CUST_92083,2020-09-30,2020-10-04,theft,15700.21,10118.89,2021-01-20,Moderate,Rainy
CLM_000082,POL_000069,CUST_92083,2024-09-30,2024-10-01,theft,21460.78,19156.82,2024-12-25,Moderate,Rainy
CLM_000083,POL_000069,CUST_92083,2024-10-02,2024-10-16,glass,698.94,618.03,2024-10-31,High,Rainy
CLM_000084,POL_000069,CUST_92083,2020-03-16,2020-03-20,collision,11996.41,14850.0,2020-06-06,Moderate,Foggy
CLM_000085,POL_000070,CUST_94848,2020-01-08,2020-01-09,collision,19185.12,15000.0,2020-03-28,High,Foggy
CLM_000086,POL_000071,CUST_71313,2021-10-19,2021-10-20,collision,3947.81,4532.16,2021-12-06,Moderate,Foggy
CLM_000087,POL_000072,CUST_81135,2024-11-26,2024-11-27,collision,14552.45,13500.0,2025-02-03,Moderate,Foggy
CLM_000088,POL_000073,CUST_88235,2020-11-07,2020-11-08,vandalism,4250.72,4950.0,2020-12-01,Moderate,Foggy
CLM_000089,POL_000074,CUST_18019,2023-03-12,2023-03-15,collision,15265.01,21450.0,2023-04-14,Low,Foggy
CLM_000090,POL_000075,CUST_29251,2021-04-27,2021-04-28,collision,22024.71,25350.0,2021-06-28,High,Foggy
CLM_000091,POL_000076,CUST_75740,2020-05-13,2020-05-17,animal_collision,1837.29,2487.5,2020-06-09,Moderate,Snowy
CLM_000092,POL_000077,CUST_21056,2020-03-10,2020-03-12,glass,,2600.0,2020-03-28,High,Snowy
CLM_000093,POL_000078,CUST_14500,2024-04-24,2024-04-27,glass,1345.15,1235.88,2024-05-15,Moderate,Snowy
CLM_000094,POL_000079,CUST_86067,2021-03-26,2021-03-29,animal_collision,6713.85,6331.32,2021-05-05,High,Rainy
CLM_000095,POL_000080,CUST_10435,2024-06-11,2024-07-11,collision,13211.03,16500.0,2024-09-16,Low,
CLM_000096,POL_000081,CUST_79781,2022-05-19,2022-06-02,collision,17584.81,19500.0,2022-07-04,Moderate,Snowy
CLM_000097,POL_000082,CUST_95758,2020-02-09,2020-02-12,theft,28092.53,20508.51,2020-04-21,Moderate,Rainy
CLM_000098,POL_000083,CUST_80605,2023-10-23,2023-10-28,collision,8847.44,10824.71,2023-12-03,Low,Stormy
CLM_000099,POL_000084,CUST_42975,2022-10-20,2022-10-21,collision,22238.73,21450.0,2022-12-09,Low,Foggy
CLM_000100,POL_000085,CUST_95704,2024-01-09,2024-01-11,animal_collision,3161.36,4668.82,2024-03-05,High,Stormy
CLM_000101,POL_000086,CUST_73369,2021-06-30,2021-07-14,collision,19064.06,19800.0,2021-09-15,High,Rainy
CLM_000102,POL_000087,CUST_94610,2024-11-29,2024-11-30,collision,38922.38,29700.0,2025-02-17,Moderate,Stormy
CLM_000103,POL_000087,CUST_94610,2024-04-23,2024-04-25,collision,33905.04,29700.0,2024-06-06,Moderate,Foggy
CLM_000104,POL_000088,CUST_70449,2024-10-02,2024-10-07,collision,3920.64,3000.0,2024-12-01,Moderate,Clear
CLM_000105,POL_000089,CUST_39494,2022-06-08,2022-06-09,fire,33838.57,28845.79,2022-10-07,Moderate,Rainy
CLM_000106,POL_000090,CUST_89668,2021-12-12,2021-12-13,collision,6420.21,9175.26,2022-01-28,Moderate,Stormy
CLM_000107,POL_000091,CUST_21358,2023-01-02,2023-01-03,bodily_injury,95758.72,55414.75,2023-11-24,Moderate,Rainy
CLM_000108,POL_000091,CUST_21358,2021-03-21,2021-03-21,collision,12742.68,11149.95,2021-05-23,High,Rainy
CLM_000109,POL_000092,CUST_01412,2021-06-08,2021-06-09,theft,17500.0,35000.0,2021-09-12,Moderate,Rainy
CLM_000110,POL_000093,CUST_39756,2024-04-29,2024-05-06,collision,3743.29,2970.0,2024-07-07,High,Foggy
CLM_000111,POL_000094,CUST_18955,2020-12-29,2021-01-28,collision,2262.81,4525.61,2021-03-06,Moderate,Rainy
CLM_000112,POL_000094,CUST_18955,2022-05-21,2022-05-22,collision,,6726.88,2022-08-06,Moderate,Rainy
CLM_000113,POL_000094,CUST_18955,2023-12-31,2023-12-31,glass,898.58,1006.92,2024-01-20,High,Clear
CLM_000114,POL_000095,CUST_45811,2020-09-18,2020-09-18,collision,6517.0,10122.21,2020-12-11,Moderate,Foggy
CLM_000115,POL_000096,CUST_22352,2020-04-27,2020-05-04,collision,2908.75,3600.0,2020-07-03,Moderate,Snowy
CLM_000116,POL_000097,CUST_47959,2021-03-30,2021-04-01,collision,10742.66,11128.7,2021-05-23,Moderate,Snowy
CLM_000117,POL_000097,CUST_47959,2022-01-09,2022-01-12,fire,80125.49,60000.0,2022-03-26,Low,Rainy
CLM_000118,POL_000097,CUST_47959,2020-05-05,2020-05-05,fire,13028.7,12000.0,2020-08-26,Moderate,Rainy
CLM_000119,POL_000098,CUST_48280,2023-09-26,2023-09-27,theft,28027.48,35000.0,2023-12-29,Severe,Rainy
CLM_000120,POL_000099,CUST_36270,2024-07-17,2024-07-18,collision,3674.55,3300.0,2024-09-08,High,Rainy
CLM_000121,POL_000100,CUST_09335,2024-02-09,2024-02-10,animal_collision,2378.27,2400.0,2024-03-30,Low,Snowy
CLM_000122,POL_000101,CUST_61566,2022-10-16,2022-10-18,theft,13570.49,12953.79,2023-01-04,Low,Clear
CLM_000123,POL_000102,CUST_22689,2023-06-28,2023-07-01,collision,10682.05,9534.28,2023-08-25,Low,Snowy
CLM_000124,POL_000103,CUST_39102,2023-09-08,2023-09-08,fire,50902.45,50326.58,2023-12-26,High,Foggy
CLM_000125,POL_000103,CUST_39102,2022-07-10,2022-07-11,collision,21472.91,18160.24,2022-08-11,Moderate,Foggy
CLM_000126,POL_000103,CUST_39102,2024-03-27,2024-03-29,collision,22022.9,19800.0,2024-06-04,Moderate,Snowy
CLM_000127,POL_000103,CUST_39102,2021-01-17,2021-01-20,glass,3293.77,2640.0,2021-02-08,Severe,Rainy
CLM_000128,POL_000104,CUST_49136,2023-02-23,2023-02-25,animal_collision,3092.74,3725.81,2023-04-07,Moderate,Foggy
CLM_000129,POL_000105,CUST_47732,2022-05-15,2022-05-15,bodily_injury,46420.79,33348.9,2022-12-15,Moderate,Snowy
CLM_000130,POL_000106,CUST_89092,2021-04-01,2021-04-02,theft,46307.73,35000.0,2021-05-26,Low,Stormy
CLM_000131,POL_000107,CUST_84285,2024-10-10,2024-10-11,collision,4076.83,3648.08,2024-11-11,Moderate,Stormy
CLM_000132,POL_000108,CUST_92267,2022-10-24,2022-10-25,vandalism,3547.63,3226.28,2022-11-28,Moderate,Rainy
CLM_000133,POL_000109,CUST_27790,2021-09-28,2021-09-28,animal_collision,12874.21,9600.0,2021-11-08,High,Rainy
CLM_000134,POL_000110,CUST_87188,2023-06-07,2023-06-08,collision,3869.18,3998.24,2023-08-16,Severe,
CLM_000135,POL_000111,CUST_56771,2024-06-01,2024-06-02,fire,24463.43,18813.4,2024-08-13,Moderate,Clear
CLM_000136,POL_000112,CUST_40298,2022-06-29,2022-06-29,collision,16276.39,13788.03,2022-09-17,Moderate,Rainy
CLM_000137,POL_000113,CUST_24960,2022-01-30,2022-01-31,collision,11394.21,10058.54,2022-04-30,Low,Snowy
CLM_000138,POL_000114,CUST_68641,2021-11-18,2021-11-23,collision,15805.05,,2022-01-06,Moderate,Snowy
CLM_000139,POL_000115,CUST_94045,2021-01-16,2021-01-17,fire,48934.89,39911.08,2021-05-15,Moderate,Rainy
CLM_000140,POL_000116,CUST_92362,2022-05-23,2022-05-28,collision,7844.04,5880.67,2022-08-07,Moderate,Foggy
CLM_000141,POL_000116,CUST_92362,2023-03-07,2023-03-08,vandalism,1610.38,1415.78,2023-04-06,Moderate,Rainy
CLM_000142,POL_000117,CUST_53528,2021-03-10,2021-03-11,collision,8700.9,13186.9,2021-06-05,Moderate,Rainy
CLM_000143,POL_000117,CUST_53528,2022-07-10,2022-07-10,vandalism,3315.51,4808.9,2022-07-24,Moderate,Clear
CLM_000144,POL_000117,CUST_53528,2020-08-27,2020-08-28,theft,14615.26,,2020-10-13,High,Rainy
CLM_000145,POL_000118,CUST_20087,2021-05-28,2021-05-28,vandalism,6730.63,6500.0,2021-06-18,Moderate,Foggy
CLM_000146,POL_000119,CUST_11975,2020-06-15,2020-06-20,collision,8341.86,6077.01,2020-08-02,High,Foggy
CLM_000147,POL_000120,CUST_10337,2023-03-08,2023-03-10,glass,793.15,890.95,2023-03-19,High,Foggy
CLM_000148,POL_000121,CUST_05835,2023-09-16,2023-09-17,collision,9981.98,9589.63,2023-10-30,Moderate,Snowy
CLM_000149,POL_000122,CUST_56284,2021-02-05,2021-02-05,collision,,4579.67,2021-03-29,Moderate,Rainy
CLM_000150,POL_000123,CUST_35349,2023-10-04,2023-10-06,vandalism,5017.83,4685.21,2023-11-05,Low,Rainy
CLM_000151,POL_000124,CUST_50407,2023-01-17,2023-01-19,collision,12647.95,13329.23,2023-02-23,Moderate,Rainy
CLM_000152,POL_000125,CUST_85791,2022-01-15,2022-01-15,theft,21138.92,21165.24,2022-04-23,Low,Foggy
CLM_000153,POL_000126,CUST_62813,2020-06-27,2020-06-28,theft,31909.34,26126.54,2020-08-24,Low,Foggy
CLM_000154,POL_000127,CUST_63292,2022-02-16,2022-02-17,collision,6563.56,8041.59,2022-03-26,Moderate,Foggy
CLM_000155,POL_000128,CUST_21384,2021-03-15,2021-03-18,fire,80941.41,60000.0,2021-06-30,High,Foggy
CLM_000156,POL_000129,CUST_01404,2022-01-25,2022-01-29,glass,2044.12,1868.21,2022-02-15,Severe,Clear
CLM_000157,POL_000130,CUST_99142,2023-07-27,2023-07-28,collision,7740.41,9646.58,2023-10-24,High,Snowy
CLM_000158,POL_000131,CUST_70172,2024-09-17,2024-09-18,collision,40906.78,27000.0,2024-11-03,Low,Rainy
CLM_000159,POL_000132,CUST_39765,2022-01-31,2022-01-31,glass,884.81,743.19,2022-02-15,Moderate,Stormy
CLM_000160,POL_000133,CUST_22949,2021-04-05,2021-04-06,collision,11252.98,12623.13,2021-05-25,Severe,Rainy
CLM_000161,POL_000134,CUST_37187,2024-06-25,2024-06-25,collision,7927.13,7113.91,2024-09-14,Moderate,Rainy
CLM_000162,POL_000135,CUST_62877,2023-03-15,2023-03-16,collision,4243.23,4522.25,2023-06-13,Moderate,Foggy
CLM_000163,POL_000136,CUST_25285,2024-03-14,2024-03-14,collision,4401.48,8802.96,2024-04-26,Low,Clear
CLM_000164,POL_000137,CUST_38441,2021-05-05,2021-05-07,collision,10895.75,11748.11,2021-08-04,Moderate,Rainy
CLM_000165,POL_000138,CUST_07949,2024-08-28,2024-08-31,theft,22750.0,45500.0,2024-12-21,Low,Rainy
CLM_000166,POL_000139,CUST_62886,2024-09-08,2024-09-10,animal_collision,12481.99,10400.0,2024-10-11,High,Foggy
CLM_000167,POL_000140,CUST_44088,2020-07-13,2020-07-14,vandalism,10755.69,10841.05,2020-08-24,High,Snowy
CLM_000168,POL_000141,CUST_88369,2024-04-25,2024-04-25,collision,2172.28,4344.56,2024-07-13,Moderate,Rainy
CLM_000169,POL_000142,CUST_74477,2023-12-13,2023-12-14,collision,20127.61,23400.0,2024-01-13,Moderate,Clear
CLM_000170,POL_000142,CUST_74477,2022-07-06,2022-07-07,collision,24391.11,23400.0,2022-08-29,Moderate,Clear
CLM_000171,POL_000143,CUST_13015,2023-08-18,2023-08-21,collision,8744.71,10291.38,2023-09-25,Moderate,Rainy
CLM_000172,POL_000144,CUST_72774,2022-01-15,2022-01-17,fire,27913.71,55827.42,2022-03-28,Moderate,
CLM_000173,POL_000145,CUST_42240,2024-07-03,2024-07-10,collision,3934.96,7490.81,2024-09-14,Moderate,Rainy
CLM_000174,POL_000145,CUST_42240,2020-06-01,2020-06-01,collision,22960.34,17550.0,2020-07-01,Moderate,Stormy
CLM_000175,POL_000145,CUST_42240,2021-01-27,2021-01-30,collision,12511.38,11878.41,2021-03-13,Moderate,Foggy
CLM_000176,POL_000146,CUST_29732,2024-04-28,2024-04-29,animal_collision,8960.15,7458.29,2024-05-23,Low,Snowy
CLM_000177,POL_000147,CUST_37668,2021-09-27,2021-10-27,animal_collision,4751.86,6858.72,2021-12-23,Moderate,Rainy
CLM_000178,POL_000148,CUST_19777,2020-06-26,2020-06-26,vandalism,4557.3,4500.0,2020-07-10,Moderate,Rainy
CLM_000179,POL_000148,CUST_19777,2021-08-26,2021-08-31,vandalism,4370.3,4488.22,2021-09-26,Moderate,Clear
CLM_000180,POL_000148,CUST_19777,2022-10-14,2022-10-14,collision,2537.77,2700.0,2022-12-23,Moderate,Snowy
CLM_000181,POL_000148,CUST_19777,2023-04-22,2023-04-25,collision,11714.17,11549.92,2023-06-09,Moderate,Rainy
CLM_000182,POL_000149,CUST_82818,2023-11-21,2023-11-23,collision,9125.18,9898.19,2024-01-10,High,Foggy
CLM_000183,POL_000150,CUST_56645,2022-11-25,2022-11-26,fire,5352.16,10000.0,2023-02-23,High,Rainy
CLM_000184,POL_000151,CUST_80104,2022-10-02,2022-10-05,vandalism,3018.93,3087.16,2022-11-15,High,Foggy
CLM_000185,POL_000152,CUST_01302,2024-01-25,2024-01-27,vandalism,1372.97,1200.0,2024-02-16,Moderate,Rainy
CLM_000186,POL_000153,CUST_45247,2024-06-29,2024-06-29,collision,16276.61,11306.74,2024-09-19,Moderate,Foggy
CLM_000187,POL_000154,CUST_06126,2023-01-13,2023-01-13,theft,44366.88,45500.0,2023-04-08,High,Rainy
CLM_000188,POL_000155,CUST_68067,2020-10-13,2020-10-16,collision,5949.58,7331.39,2021-01-03,Moderate,Foggy
CLM_000189,POL_000156,CUST_47271,2020-03-03,2020-03-04,bodily_injury,100329.49,81869.03,2020-06-20,Low,Rainy
CLM_000190,POL_000157,CUST_02062,2023-02-28,2023-03-01,bodily_injury,21390.38,20680.1,2023-11-23,Moderate,Foggy
CLM_000191,POL_000157,CUST_02062,2021-01-24,2021-01-26,collision,4193.21,5202.84,2021-03-04,Moderate,Snowy
CLM_000192,POL_000158,CUST_05632,2020-07-10,2020-07-11,vandalism,2388.54,2639.31,2020-08-13,Severe,Clear
CLM_000193,POL_000159,CUST_08561,2024-09-07,2024-09-08,collision,,13500.0,2024-11-03,High,Rainy
CLM_000194,POL_000160,CUST_13910,2021-09-22,2021-09-27,collision,4264.34,8528.68,2021-12-22,Low,Rainy
CLM_000195,POL_000161,CUST_63981,2023-03-14,2023-03-15,collision,9536.82,13500.0,2023-05-26,Moderate,Snowy
CLM_000196,POL_000161,CUST_63981,2021-07-27,2021-07-28,collision,6970.77,6615.28,2021-09-08,Low,Snowy
CLM_000197,POL_000161,CUST_63981,2024-11-01,2024-12-01,theft,18197.72,17737.71,2025-03-07,Moderate,Rainy
CLM_000198,POL_000162,CUST_04812,2022-04-23,2022-04-27,collision,26241.2,17873.13,2022-06-19,Moderate,Foggy
CLM_000199,POL_000163,CUST_02605,2024-08-28,2024-09-27,collision,8583.66,9606.63,2024-11-25,High,Rainy
CLM_000200,POL_000163,CUST_02605,2024-03-19,2024-03-19,vandalism,4530.34,4783.09,2024-04-12,Moderate,Rainy
CLM_000201,POL_000164,CUST_14046,2020-08-07,2020-08-14,fire,6234.87,11505.05,2021-02-01,High,Rainy
CLM_000202,POL_000165,CUST_77323,2021-06-26,2021-06-27,collision,17866.79,18150.0,2021-08-02,Severe,Foggy
CLM_000203,POL_000166,CUST_88886,2020-06-05,2020-06-08,theft,4858.95,9717.91,2020-07-26,High,Snowy
CLM_000204,POL_000166,CUST_88886,2023-02-05,2023-02-08,collision,7799.83,13500.0,2023-04-23,,Foggy
CLM_000205,POL_000167,CUST_14234,2024-04-28,2024-04-29,vandalism,2204.7,2707.36,2024-05-25,Moderate,Rainy
CLM_000206,POL_000168,CUST_80239,2021-07-10,2021-07-11,collision,7652.33,7490.04,2021-10-04,Severe,Rainy
CLM_000207,POL_000169,CUST_92922,2021-05-04,2021-05-07,theft,20214.56,,2021-07-28,Low,Foggy
CLM_000208,POL_000170,CUST_68584,2024-12-03,2024-12-03,glass,2541.97,2430.5,2024-12-19,Moderate,Foggy
CLM_000209,POL_000171,CUST_02917,2021-10-06,2021-10-07,collision,4674.59,9349.18,2021-12-22,Moderate,Stormy
CLM_000210,POL_000172,CUST_21128,2022-01-02,2022-01-02,glass,1420.25,1287.27,2022-01-20,Moderate,Rainy
CLM_000211,POL_000173,CUST_03219,2020-05-19,2020-05-21,collision,6813.19,6254.02,2020-06-24,Low,Rainy
CLM_000212,POL_000173,CUST_03219,2020-07-27,2020-07-29,collision,15380.26,16157.69,2020-10-17,Moderate,Foggy
CLM_000213,POL_000174,CUST_02342,2024-02-26,2024-02-27,animal_collision,15457.43,11440.0,2024-04-24,Severe,Foggy
CLM_000214,POL_000175,CUST_80767,2022-01-19,2022-01-20,collision,9750.0,19500.0,2022-04-02,Moderate,Rainy
CLM_000215,POL_000176,CUST_84524,2020-04-16,2020-04-17,collision,5059.61,7801.92,2020-06-19,Severe,Rainy
CLM_000216,POL_000177,CUST_68444,2020-02-20,2020-02-25,theft,32591.75,33337.29,2020-06-14,Low,Rainy
CLM_000217,POL_000178,CUST_06415,2022-11-17,2022-11-19,collision,23143.09,21450.0,2022-12-25,Moderate,Rainy
CLM_000218,POL_000179,CUST_42832,2022-09-14,2022-09-21,vandalism,5234.8,4950.0,2022-10-26,Moderate,
CLM_000219,POL_000180,CUST_24930,2022-04-17,2022-04-18,collision,16610.25,16686.27,2022-06-08,Moderate,Rainy
