Policy_ID,Customer_ID,Date_of_Birth,Full_License_Issue_Date,Vehicle_Type,Vehicle_Year
POL_000031,CUST_10474,1943-08-19,1964-04-12,Sedan,2014
POL_000032,CUST_04748,2000-03-05,2022-02-02,Truck,2014
POL_000033,CUST_74530,1977-02-20,1996-12-30,Sedan,2008
POL_000034,CUST_40353,1989-01-02,2010-02-07,Minivan,2006
POL_000035,CUST_94264,1994-09-19,2017-03-08,Sedan,2006
POL_000036,CUST_39623,1953-01-09,1977-03-21,Sports_Car,2018
POL_000037,CUST_27309,1978-03-31,1999-05-23,Sedan,2011
POL_000038,CUST_26342,1953-07-22,1972-02-05,Hatchback,2006
POL_000039,CUST_81623,1961-12-20,1980-06-30,Hatchback,2012
POL_000040,CUST_52663,1965-08-16,1984-02-14,Sedan,2017
POL_000041,CUST_35754,1986-09-19,2010-01-21,Hatchback,2004
POL_000042,CUST_09680,1971-04-19,1994-01-12,Truck,2003
POL_000043,CUST_38504,1955-10-28,1980-05-04,Truck,2015
POL_000044,CUST_48254,1962-04-15,1987-03-05,SUV,2005
POL_000045,CUST_97601,1985-08-18,2008-07-05,Minivan,2007
POL_000046,CUST_32616,1984-11-16,2005-04-10,Sedan,2021
POL_000047,CUST_08400,1997-05-13,2018-08-04,Sedan,2014
POL_000048,CUST_05499,1981-07-15,2005-09-12,Hatchback,2020
POL_000049,CUST_33711,1973-05-30,1993-02-11,Hatchback,2012
POL_000050,CUST_03557,1996-05-29,2015-02-02,Sports_Car,2020
POL_000051,CUST_47975,1946-01-29,1969-03-23,Sedan,2005
POL_000052,CUST_95179,1972-10-28,1993-06-06,Truck,2014
POL_000053,CUST_04987,1997-03-19,2018-10-05,SUV,2007
POL_000054,CUST_71271,1976-11-13,1998-03-11,SUV,2006
POL_000055,CUST_46525,1952-07-11,1973-02-15,Sedan,2004
POL_000056,CUST_48333,1958-12-05,1981-07-20,SUV,2017
POL_000057,CUST_49404,1969-04-15,1992-03-14,SUV,2021
POL_000058,CUST_95660,1959-04-13,1979-11-23,Sedan,2022
POL_000059,CUST_74744,1964-09-18,1984-07-03,Minivan,2019
POL_000060,CUST_37212,1990-12-13,2015-11-06,Hatchback,2009
POL_000061,CUST_01301,1942-12-16,1967-04-26,Minivan,2006
POL_000062,CUST_66726,1993-08-04,2013-06-29,Sedan,2022
POL_000063,CUST_86314,1948-03-14,1971-09-06,Sedan,2022
POL_000064,CUST_52885,1945-01-10,1967-10-30,Sedan,2020
POL_000065,CUST_57958,1960-06-19,1983-01-26,SUV,2021
POL_000066,CUST_79069,1943-11-30,1964-01-18,SUV,2015
POL_000067,CUST_51993,2000-03-26,2022-11-21,Hatchback,2020
POL_000068,CUST_90912,1963-12-02,1986-02-03,Truck,2016
POL_000069,CUST_92083,1946-07-16,1965-08-14,Hatchback,2009
POL_000070,CUST_94848,1976-10-01,1997-01-07,Sedan,2004
POL_000071,CUST_71313,1988-01-21,2012-01-22,Hatchback,2006
POL_000072,CUST_81135,1982-01-18,2006-11-09,Hatchback,2018
POL_000073,CUST_88235,1948-05-29,1966-05-29,Hatchback,2016
POL_000074,CUST_18019,1951-05-25,1970-02-12,Truck,2005
POL_000075,CUST_29251,1997-12-03,2016-03-27,Truck,2004
POL_000076,CUST_75740,1962-10-20,1985-11-11,Sedan,2014
POL_000077,CUST_21056,1986-04-25,2007-05-14,Truck,2007
POL_000078,CUST_14500,1984-07-12,2004-12-20,Truck,2007
POL_000079,CUST_86067,1966-07-05,1986-01-31,SUV,2020
POL_000080,CUST_10435,1949-08-27,1970-05-15,Sedan,2009
POL_000081,CUST_79781,1976-06-16,2000-04-22,Truck,2009
POL_000082,CUST_95758,1970-08-02,1994-10-10,Sedan,2007
POL_000083,CUST_80605,1952-03-30,1975-11-25,Truck,2013
POL_000084,CUST_42975,1947-11-09,1972-08-28,Truck,2022
POL_000085,CUST_95704,1952-09-05,1971-08-02,Hatchback,2021
POL_000086,CUST_73369,1942-05-21,1964-12-28,SUV,2011
POL_000087,CUST_94610,1951-01-03,1971-08-12,Sports_Car,2004
POL_000088,CUST_70449,1961-12-18,1983-11-23,Sedan,2015
POL_000089,CUST_39494,1996-11-26,2021-08-01,SUV,2011
POL_000090,CUST_89668,1945-10-03,1963-12-27,Hatchback,2015
POL_000091,CUST_21358,1966-12-07,1986-01-23,Sedan,2004
POL_000092,CUST_01412,1955-10-14,1977-12-03,Sedan,2012
POL_000093,CUST_39756,1942-01-18,1961-11-19,Hatchback,2013
POL_000094,CUST_18955,1979-10-30,2000-11-20,SUV,2007
POL_000095,CUST_45811,1945-12-03,1968-07-12,SUV,2018
POL_000096,CUST_22352,1955-07-05,1979-11-12,SUV,2020
POL_000097,CUST_47959,1973-04-21,1997-01-24,SUV,2003
POL_000098,CUST_48280,1997-03-18,2017-02-09,Sedan,2004
POL_000099,CUST_36270,1960-04-25,1978-07-05,Minivan,2014
POL_000100,CUST_09335,1992-07-12,2012-11-04,SUV,2008
POL_000101,CUST_61566,1952-05-08,1974-06-04,Hatchback,2019
POL_000102,CUST_22689,1942-12-18,1966-11-08,Sedan,2013
POL_000103,CUST_39102,1953-01-01,1974-02-26,SUV,2020
POL_000104,CUST_49136,1958-09-04,1978-09-19,Hatchback,2011
POL_000105,CUST_47732,1947-01-03,1969-03-20,Sedan,2009
POL_000106,CUST_89092,1992-04-02,2013-07-28,Sedan,2018
POL_000107,CUST_84285,1977-11-09,1999-08-24,Hatchback,2022
POL_000108,CUST_92267,1960-07-28,1979-02-25,SUV,2010
POL_000109,CUST_27790,1994-06-16,2017-05-26,SUV,2011
POL_000110,CUST_87188,2001-04-11,2019-05-15,Sedan,2020
POL_000111,CUST_56771,1965-11-20,1986-11-01,Hatchback,2003
POL_000112,CUST_40298,1966-04-10,1989-08-15,SUV,2022
POL_000113,CUST_24960,1941-06-08,1962-09-30,Hatchback,2006
POL_000114,CUST_68641,1953-10-28,1974-12-07,Sedan,2017
POL_000115,CUST_94045,1945-02-15,1965-05-05,Sports_Car,2007
POL_000116,CUST_92362,1970-03-07,1991-08-06,Truck,2019
POL_000117,CUST_53528,1972-02-06,1995-10-27,Truck,2014
POL_000118,CUST_20087,1994-06-16,2016-04-07,Truck,2020
POL_000119,CUST_11975,1959-07-14,1980-05-09,Sedan,2013
POL_000120,CUST_10337,1941-11-18,1960-11-20,Sedan,2015
POL_000121,CUST_05835,1950-03-28,1969-09-13,Minivan,2018
POL_000122,CUST_56284,1980-09-04,2002-01-06,Hatchback,2022
POL_000123,CUST_35349,1947-08-31,1968-03-07,Sedan,2010
POL_000124,CUST_50407,1974-10-06,1997-03-06,SUV,2004
POL_000125,CUST_85791,1967-10-22,1992-08-18,Hatchback,2013
POL_000126,CUST_62813,1954-01-31,1974-11-07,Hatchback,2022
POL_000127,CUST_63292,1963-02-04,1984-07-15,Truck,2006
POL_000128,CUST_21384,1995-08-29,2015-07-13,SUV,2010
POL_000129,CUST_01404,1959-12-13,1979-05-02,Sedan,2022
POL_000130,CUST_99142,1974-12-31,1998-06-18,Truck,2018
POL_000131,CUST_70172,1981-05-31,2003-05-26,Sports_Car,2018
POL_000132,CUST_39765,1996-05-08,2017-07-15,Sedan,2009
POL_000133,CUST_22949,1997-12-31,2017-12-12,Hatchback,2019
POL_000134,CUST_37187,1975-01-12,1998-01-04,Sedan,2021
POL_000135,CUST_62877,1979-09-22,1998-05-24,Hatchback,2021
POL_000136,CUST_25285,1952-01-01,1975-06-03,Hatchback,2011
POL_000137,CUST_38441,1997-10-31,2019-04-01,Hatchback,2009
POL_000138,CUST_07949,1983-04-06,2003-05-04,Truck,2021
POL_000139,CUST_62886,1962-01-02,1983-09-17,Truck,2004
POL_000140,CUST_44088,1996-07-30,2018-04-14,Sports_Car,2013
POL_000141,CUST_88369,1959-05-04,1977-09-13,Hatchback,2006
POL_000142,CUST_74477,2001-04-05,2019-06-08,SUV,2021
POL_000143,CUST_13015,1951-10-30,1975-10-07,Sedan,2012
POL_000144,CUST_72774,1957-03-06,1977-03-31,SUV,2007
POL_000145,CUST_42240,2001-06-04,2021-11-15,Hatchback,2015
POL_000146,CUST_29732,1948-12-30,1968-10-22,Sedan,2005
POL_000147,CUST_37668,1998-12-10,2021-01-02,Sedan,2013
POL_000148,CUST_19777,1959-03-03,1983-05-26,Hatchback,2011
POL_000149,CUST_82818,1967-11-15,1988-11-15,Sedan,2010
POL_000150,CUST_56645,1968-10-08,1992-06-28,Sedan,2008
POL_000151,CUST_80104,1996-04-03,2015-03-01,Sedan,2019
POL_000152,CUST_01302,1978-11-15,2000-05-09,SUV,2003
POL_000153,CUST_45247,1975-09-07,1995-02-09,Truck,2009
POL_000154,CUST_06126,1958-09-12,1978-02-14,Truck,2004
POL_000155,CUST_68067,1987-06-05,2012-01-05,Sedan,2008
POL_000156,CUST_47271,1961-01-23,1984-04-08,Sedan,2008
POL_000157,CUST_02062,1975-01-09,1998-09-10,Sedan,2013
POL_000158,CUST_05632,1957-02-09,1975-06-10,Hatchback,2011
POL_000159,CUST_08561,1971-06-22,1995-02-18,Hatchback,2019
POL_000160,CUST_13910,1957-07-01,1975-10-15,Truck,2021
POL_000161,CUST_63981,1983-02-12,2007-11-15,Hatchback,2018
POL_000162,CUST_04812,1982-12-25,2005-10-16,Sports_Car,2010
POL_000163,CUST_02605,1988-11-28,2013-04-05,Sedan,2017
POL_000164,CUST_14046,1971-11-07,1996-05-26,Sedan,2014
POL_000165,CUST_77323,1947-02-23,1968-01-17,Minivan,2018
POL_000166,CUST_88886,1984-12-04,2004-03-11,Hatchback,2012
POL_000167,CUST_14234,1978-02-27,2003-02-17,Hatchback,2017
POL_000168,CUST_80239,1996-08-27,2016-12-16,SUV,2012
POL_000169,CUST_92922,1957-10-07,1979-09-05,Sedan,2019
POL_000170,CUST_68584,1975-02-25,1993-06-12,Truck,2011
POL_000171,CUST_02917,1974-07-28,1996-11-12,Sedan,2018
POL_000172,CUST_21128,1959-03-10,1982-09-21,SUV,2020
POL_000173,CUST_03219,1940-01-30,1958-10-12,Sedan,2013
POL_000174,CUST_02342,1954-07-13,1976-12-13,Truck,2022
POL_000175,CUST_80767,1992-08-31,2016-02-11,Truck,2008
POL_000176,CUST_84524,1949-08-11,1970-08-29,Hatchback,2006
POL_000177,CUST_68444,1940-09-12,1964-01-29,Truck,2009
POL_000178,CUST_06415,1954-06-12,1976-09-24,Truck,2022
POL_000179,CUST_42832,1956-05-07,1978-02-03,Hatchback,2015
POL_000180,CUST_24930,1998-02-09,2021-09-18,Truck,2004
POL_000181,CUST_83985,1996-06-26,2016-02-12,SUV,2010
POL_000182,CUST_30287,1968-11-24,1991-12-27,SUV,2016
POL_000183,CUST_88062,1972-10-13,1997-07-13,SUV,2022
POL_000184,CUST_12246,1965-03-14,1989-03-10,SUV,2022
POL_000185,CUST_93263,1990-05-19,2010-08-12,Truck,2015
POL_000186,CUST_93738,1945-06-13,1963-12-23,Truck,2017
POL_000187,CUST_60379,2000-02-26,2022-08-25,Truck,2022
POL_000188,CUST_98720,1942-07-31,1961-09-18,Sedan,2017
POL_000189,CUST_20029,1987-07-07,2011-11-24,Truck,2019
POL_000190,CUST_44872,1952-09-06,1975-03-18,Sedan,2013
POL_000191,CUST_72895,2001-06-01,2021-08-19,Truck,2019
POL_000192,CUST_04756,1948-11-22,1972-08-12,Truck,2019
POL_000193,CUST_72315,1985-03-03,2008-07-05,Sedan,2019
POL_000194,CUST_77077,1978-10-21,1998-09-27,Truck,2008
POL_000195,CUST_18368,1968-09-07,1992-08-30,Sedan,2015
POL_000196,CUST_65644,1942-04-27,1961-04-12,Sports_Car,2007
POL_000197,CUST_28632,1956-05-15,1974-09-14,SUV,2013
POL_000198,CUST_45327,1971-12-05,1995-03-12,Hatchback,2004
POL_000199,CUST_77589,1981-06-08,2003-05-04,Sedan,2022
POL_000200,CUST_20256,1949-05-30,1971-11-26,Sedan,2019
POL_000201,CUST_64374,1995-12-03,2015-06-17,SUV,2004
POL_000202,CUST_40224,1966-02-17,1984-09-01,Sedan,2003
POL_000203,CUST_50688,1976-04-05,1995-10-27,Hatchback,2003
POL_000204,CUST_09666,1961-11-19,1980-12-04,Truck,2016
POL_000205,CUST_80026,1949-11-29,1970-06-20,Sedan,2011
POL_000206,CUST_46765,1973-10-06,1997-03-14,Sedan,2003
POL_000207,CUST_05757,1976-12-09,2001-01-06,Sedan,2012
POL_000208,CUST_71480,1984-07-09,2006-08-05,Minivan,2006
POL_000209,CUST_21806,1986-10-18,2005-03-09,SUV,2015
POL_000210,CUST_25442,1965-03-11,1989-05-16,Hatchback,2004
POL_000211,CUST_87444,1945-09-30,1970-02-13,SUV,2006
POL_000212,CUST_65077,1960-01-27,1983-09-18,Truck,2022
POL_000213,CUST_27737,1958-04-01,1978-12-09,SUV,2006
POL_000214,CUST_13342,1998-05-26,2021-08-23,Sports_Car,2015
POL_000215,CUST_76629,1975-11-20,1996-01-01,SUV,2013
POL_000216,CUST_86382,1979-07-17,1997-09-04,Truck,2005
POL_000217,CUST_31678,1987-03-11,2006-01-12,Truck,2020
POL_000218,CUST_69836,1984-11-25,2003-10-14,Sedan,2008
POL_000219,CUST_74506,1994-12-22,2016-06-26,Sedan,2021
POL_000220,CUST_55771,1966-01-27,1991-01-04,Truck,2007
POL_000221,CUST_48057,1998-08-13,2018-11-08,Sedan,2007
POL_000222,CUST_21079,1983-12-13,2007-12-15,Sedan,2004
POL_000223,CUST_09705,1977-12-31,1999-07-27,Sports_Car,2005
POL_000224,CUST_95914,2001-06-08,2021-06-18,SUV,2021
POL_000225,CUST_34572,1997-03-17,2019-06-15,SUV,2018
POL_000226,CUST_18771,1976-03-04,1997-02-08,Sedan,2011
POL_000227,CUST_87143,1982-07-16,2006-04-17,Sedan,2009
POL_000228,CUST_61774,1948-10-11,1968-03-10,Sedan,2015
POL_000229,CUST_56961,1988-06-22,2013-06-02,SUV,2019
POL_000230,CUST_57133,1971-03-11,1991-05-19,Sports_Car,2012
POL_000231,CUST_27657,1955-01-17,1973-02-21,SUV,2017
POL_000232,CUST_17725,1975-04-22,1997-09-25,Sedan,2013
POL_000233,CUST_97523,1961-12-08,1981-09-09,Truck,2015
POL_000234,CUST_60052,1981-07-20,2000-10-12,Hatchback,2013
POL_000235,CUST_87145,1948-05-06,1968-04-02,Sedan,2009
POL_000236,CUST_88410,1988-09-15,2008-08-03,Sedan,2019
POL_000237,CUST_90599,1995-06-15,2017-01-19,Sports_Car,2012
POL_000238,CUST_54302,1970-04-19,1991-09-16,Truck,2021
POL_000239,CUST_90399,1953-05-05,1972-06-09,Sedan,2018
POL_000240,CUST_68298,1961-03-06,1981-03-21,Hatchback,2003
POL_000241,CUST_67017,1973-03-20,1992-03-14,Truck,2012
POL_000242,CUST_16048,1960-11-28,1983-01-26,SUV,2014
POL_000243,CUST_84559,2000-09-06,2022-01-24,SUV,2012
POL_000244,CUST_35020,1976-08-09,1994-12-13,Sedan,2005
POL_000245,CUST_24051,1966-06-23,1984-09-27,SUV,2021
POL_000246,CUST_37408,1984-09-20,2005-07-22,SUV,2013
POL_000247,CUST_91327,1996-02-27,2017-10-25,Hatchback,2007
POL_000248,CUST_68957,1973-08-09,1996-05-20,Truck,2018
POL_000249,CUST_78454,1954-08-14,1979-06-27,Truck,2011
POL_000250,CUST_30711,1977-12-21,1996-02-01,Sports_Car,2013
POL_000251,CUST_45813,1973-05-29,1996-05-15,Sedan,2016
POL_000252,CUST_37062,1951-08-23,1973-10-17,Hatchback,2005
POL_000253,CUST_67150,1993-03-29,2012-04-29,Sedan,2013
POL_000254,CUST_79945,1965-09-20,1989-10-29,Hatchback,2010
POL_000255,CUST_41998,1948-03-22,1966-09-16,Sedan,2011
POL_000256,CUST_28345,1958-03-27,1979-12-24,SUV,2010
POL_000257,CUST_75038,1977-08-31,1998-10-01,SUV,2021
POL_000258,CUST_28788,1941-07-19,1966-04-10,SUV,2010
POL_000259,CUST_17371,1978-03-01,2001-05-23,Sedan,2016
POL_000260,CUST_13984,1990-06-23,2009-10-07,SUV,2011
POL_000261,CUST_51072,1989-10-05,2011-03-16,Sedan,2013
POL_000262,CUST_33733,1997-01-20,2016-02-08,Sedan,2022
POL_000263,CUST_56619,1972-01-25,1993-03-30,Truck,2005
POL_000264,CUST_91093,1996-12-04,2016-02-04,Sedan,2022
POL_000265,CUST_44001,1952-05-11,1972-12-25,Hatchback,2011
POL_000266,CUST_01806,1973-08-15,1994-03-06,Hatchback,2017
POL_000267,CUST_81097,1962-07-06,1983-06-21,Sedan,2010
POL_000268,CUST_57979,1980-11-05,2000-12-11,Hatchback,2015
POL_000269,CUST_35157,1954-12-02,1975-04-30,Sedan,2004
POL_000270,CUST_28376,1987-03-03,2011-05-11,Minivan,2014
POL_000271,CUST_67262,1978-12-06,2001-11-01,Hatchback,2008
POL_000272,CUST_27172,1971-03-01,1992-01-03,Sedan,2006
POL_000273,CUST_25578,1991-08-31,2011-12-23,Hatchback,2006
POL_000274,CUST_61504,1998-04-06,2018-09-10,SUV,2008
POL_000275,CUST_18674,1945-05-07,1967-02-11,Hatchback,2021
POL_000276,CUST_18602,1969-10-29,1990-07-08,Minivan,2014
POL_000277,CUST_59762,1977-10-07,1995-11-11,Sedan,2018
POL_000278,CUST_81199,1960-01-07,1980-09-02,Truck,2017
POL_000279,CUST_95661,1954-07-21,1976-12-27,Minivan,2005
POL_000280,CUST_87988,1967-03-03,1987-05-02,Hatchback,2018
POL_000281,CUST_20129,1966-02-09,1990-04-25,SUV,2004
POL_000282,CUST_93108,1971-01-01,1994-02-28,Sedan,2015
POL_000283,CUST_68675,1996-09-18,2021-03-24,Hatchback,2015
POL_000284,CUST_98624,1989-07-30,2008-07-22,Sports_Car,2010
POL_000285,CUST_64620,1996-08-24,2021-05-24,Hatchback,2016
POL_000286,CUST_03719,1964-09-28,1985-08-13,Sedan,2013
POL_000287,CUST_19787,1950-04-19,1972-08-05,SUV,2005
POL_000288,CUST_61461,1940-11-10,1964-04-13,Sedan,2010
POL_000289,CUST_13987,1945-09-15,1964-09-04,Sedan,2021
POL_000290,CUST_48517,1942-10-24,1964-06-29,Sedan,2004
POL_000291,CUST_62246,1999-07-26,2020-12-19,SUV,2021
POL_000292,CUST_06084,1946-07-30,1967-12-22,Hatchback,2018
POL_000293,CUST_08491,1959-05-20,1982-07-15,Sedan,2019
POL_000294,CUST_74609,1987-10-05,2008-04-04,SUV,2006
POL_000295,CUST_24821,1997-06-03,2021-08-03,Minivan,2005
POL_000296,CUST_22427,1998-01-31,2018-02-27,Hatchback,2020
POL_000297,CUST_45064,1998-12-12,2017-01-04,Sedan,2012
POL_000298,CUST_27029,1979-07-09,2004-05-14,SUV,2021
POL_000299,CUST_82958,1979-03-05,2003-11-08,SUV,2014
POL_000300,CUST_24411,1947-11-04,1971-11-12,Hatchback,2012
POL_000301,CUST_04093,1978-05-19,1999-01-12,Sedan,2003
POL_000302,CUST_82871,1995-04-04,2015-12-13,Hatchback,2008
POL_000303,CUST_06626,1996-05-09,2018-12-12,SUV,2018
POL_000304,CUST_77961,1973-05-02,1993-11-16,Sedan,2008
POL_000305,CUST_27385,1993-04-12,2013-06-08,Hatchback,2011
POL_000306,CUST_06776,1991-02-01,2013-06-22,Sedan,2009
POL_000307,CUST_86553,1963-11-27,1983-07-05,Hatchback,2009
POL_000308,CUST_16251,1987-07-16,2010-11-25,Hatchback,2020
POL_000309,CUST_12536,1948-11-18,1973-01-14,Truck,2016
POL_000310,CUST_66455,1990-01-17,2012-11-10,SUV,2014
POL_000311,CUST_55615,1954-01-16,1979-01-03,SUV,2021
POL_000312,CUST_27589,1995-04-14,2013-06-19,SUV,2005
POL_000313,CUST_27143,1988-09-18,2008-05-12,Truck,2017
POL_000314,CUST_53648,1964-06-23,1988-01-22,Sedan,2017
POL_000315,CUST_44408,1940-08-21,1961-09-01,Sedan,2014
POL_000316,CUST_75319,1993-06-12,2016-01-28,SUV,2008
POL_000317,CUST_23431,1983-11-30,2003-11-08,Sports_Car,2015
POL_000318,CUST_46004,1984-11-30,2009-02-14,Sedan,2022
POL_000319,CUST_82061,1979-08-15,2000-02-13,SUV,2016
POL_000320,CUST_69577,1989-08-04,2013-07-08,Sedan,2005
POL_000321,CUST_50786,1990-02-06,2013-07-19,Sedan,2020
POL_000322,CUST_65881,1958-12-29,1983-03-13,Sports_Car,2014
POL_000323,CUST_14629,1950-10-06,1973-06-10,Truck,2003
POL_000324,CUST_47163,1946-09-16,1970-04-27,SUV,2012
POL_000325,CUST_57446,1971-12-17,1990-01-02,SUV,2020
POL_000326,CUST_81885,1951-04-22,1971-12-13,SUV,2005
POL_000327,CUST_84186,1972-04-29,1994-08-02,Sedan,2010
POL_000328,CUST_71316,1994-11-15,2014-11-29,Sedan,2019
POL_000329,CUST_90899,1972-08-14,1997-01-21,SUV,2004
POL_000330,CUST_03920,1959-05-18,1979-03-05,SUV,2018
POL_000331,CUST_46500,1978-06-15,1998-07-04,Sedan,2020
POL_000332,CUST_31027,2001-07-21,2022-11-28,Sedan,2022
POL_000333,CUST_48908,1978-06-26,1996-11-26,Sedan,2003
POL_000334,CUST_81818,1949-07-05,1970-02-10,SUV,2005
POL_000335,CUST_23015,1958-01-09,1979-07-01,Truck,2021
POL_000336,CUST_13201,1970-08-22,1993-07-19,Minivan,2016
POL_000337,CUST_49364,1974-03-16,1995-09-01,SUV,2011
POL_000338,CUST_27723,1993-01-04,2013-03-03,Sports_Car,2015
POL_000339,CUST_89397,1978-02-20,1998-09-12,SUV,2009
POL_000340,CUST_99317,1973-06-13,1992-12-12,SUV,2008
POL_000341,CUST_46893,1979-03-13,1997-07-15,Truck,2016
POL_000342,CUST_14760,1945-11-03,1967-04-04,Hatchback,2018
POL_000343,CUST_53233,1974-07-09,1998-11-24,Sedan,2012
POL_000344,CUST_77619,1985-08-25,2009-02-03,Hatchback,2013
POL_000345,CUST_80530,1965-12-27,1989-12-11,Sports_Car,2003
POL_000346,CUST_86112,1968-12-11,1988-07-04,Truck,2003
POL_000347,CUST_93324,1992-05-25,2015-12-01,Hatchback,2011
POL_000348,CUST_68278,1967-01-06,1989-04-29,SUV,2008
POL_000349,CUST_21337,1988-05-26,2009-01-02,Minivan,2003
POL_000350,CUST_01281,1942-09-15,1964-04-18,Sedan,2003
POL_000351,CUST_77260,1957-03-14,1978-01-31,Sports_Car,2017
POL_000352,CUST_65178,1959-03-02,1980-05-24,Sedan,2006
POL_000353,CUST_02239,1997-06-19,2016-03-16,Truck,2005
POL_000354,CUST_62212,1940-05-25,1958-12-23,Hatchback,2005
POL_000355,CUST_69785,1999-07-16,2024-06-26,Sedan,2012
POL_000356,CUST_79131,1977-04-21,2001-04-23,Truck,2010
POL_000357,CUST_11225,1970-02-17,1990-07-23,Sedan,2015
POL_000358,CUST_38380,1965-04-05,1988-03-04,Minivan,2017
POL_000359,CUST_89009,1988-03-11,2012-08-20,Sedan,2012
POL_000360,CUST_95795,1982-07-03,2001-04-26,Sedan,2015
POL_000361,CUST_32890,1952-03-18,1972-06-04,Sports_Car,2019
POL_000362,CUST_27984,1978-04-16,1999-11-29,Sedan,2018
POL_000363,CUST_06704,1949-01-24,1969-10-25,Hatchback,2017
POL_000364,CUST_28208,1999-03-04,2019-01-15,Sedan,2010
POL_000365,CUST_26923,1993-10-03,2013-01-29,Truck,2012
POL_000366,CUST_92749,1948-09-28,1968-01-30,SUV,2019
POL_000367,CUST_26426,1949-10-13,1974-06-18,Hatchback,2014
POL_000368,CUST_92736,1950-03-21,1971-12-13,Sedan,2016
POL_000369,CUST_36643,1953-03-19,1977-03-13,SUV,2004
POL_000370,CUST_97546,1988-11-08,2007-09-04,Sedan,2006
POL_000371,CUST_78576,1971-08-16,1992-03-29,SUV,2009
POL_000372,CUST_93059,1957-10-09,1979-10-17,Sedan,2017
POL_000373,CUST_22636,1943-04-12,1963-01-31,SUV,2011
POL_000374,CUST_74770,1971-09-11,1994-07-05,Hatchback,2008
POL_000375,CUST_79714,1999-10-27,2024-10-10,SUV,2011
POL_000376,CUST_60182,1941-03-02,1961-12-06,Sedan,2007
POL_000377,CUST_37914,1957-12-19,1980-12-15,Sedan,2012
POL_000378,CUST_47881,1975-11-09,1994-03-24,Sedan,2004
POL_000379,CUST_93653,1987-07-20,2006-07-22,Sedan,2003
POL_000380,CUST_55691,1958-12-06,1980-02-23,Truck,2020
POL_000381,CUST_45139,1973-09-13,1997-07-16,Sedan,2012
POL_000382,CUST_90022,1959-05-13,1983-05-23,Sedan,2016
POL_000383,CUST_13149,1963-09-13,1988-02-09,Hatchback,2019
POL_000384,CUST_14673,1966-05-04,1987-08-07,Sedan,2010
POL_000385,CUST_53249,1981-09-24,2003-04-12,Sedan,2014
POL_000386,CUST_72831,1984-12-08,2005-08-13,SUV,2013
POL_000387,CUST_56826,1948-11-19,1969-03-22,Hatchback,2018
POL_000388,CUST_82571,1949-01-06,1967-05-27,Sedan,2004
POL_000389,CUST_65174,1966-06-27,1990-09-28,Sedan,2018
POL_000390,CUST_18014,1993-08-13,2015-01-09,SUV,2022
POL_000391,CUST_24711,1964-04-17,1989-01-12,Truck,2016
POL_000392,CUST_18727,1965-02-18,1986-02-18,Sedan,2021
POL_000393,CUST_61946,1971-08-29,1991-07-24,Truck,2009
POL_000394,CUST_40532,1943-02-19,1967-07-08,Sedan,2016
POL_000395,CUST_74379,1975-09-25,1998-07-20,Sedan,2022
POL_000396,CUST_69008,1999-11-23,2023-02-14,Truck,2017
POL_000397,CUST_69011,1989-11-07,2010-06-15,Sedan,2018
POL_000398,CUST_74794,1979-09-17,2002-06-13,SUV,2005
